Ragione sociale;Tipo organizzazione;Indirizzo;Comune;Telefono;Email;Referente Email
EB NEURO S.P.A.;AZIENDA;VIA P. FANFANI, 97/A;FIRENZE;456028111;info@ehneuro.com;
MOS80 S.R.L.;AZIENDA;VIA MERCURIO, 5;VERONA;45543232;f.coppola@mos80.it;
BRUTTI LORENZO S.R.L.;AZIENDA;VIA DELLA MECCANICA, 26;VERONA;458181211;bruttilorenzo@bruttilorenzo.it;
STORTI S.P.A.;AZIENDA;VIA CASTELLETTO, 10;BELFIORE;456134311;r.storti@storti.com;
OFFICE AUTOMATION S.R.L.;AZIENDA;VIALE DEL COMMERCIO, 10/C;VERONA;458002529;francesca.grego@officeautomation.it;
OFFICE AUTOMATION S.R.L.;AZIENDA;VIALE DEL COMMERCIO, 10/C;VERONA;458002529;francesca.grego@officeautomation.it;
INTESYS  S.R.L.;AZIENDA;VIA ROVEGGIA, 3;VERONA;458205513;alessandro.cortiana@intesys.it;
INTESYS  S.R.L.;AZIENDA;VIA ROVEGGIA, 3;VERONA;458205513;alessandro.cortiana@intesys.it;
AEMMETEL S.R.L.;AZIENDA;VIA XXVIII GENNAIO, 27;VERONA;45500399;amministrazione@pec.aemmetel.com;
B! SPA;AZIENDA;VIA ROVEGGIA 83;VERONA;458288111;ottavio.gandini@bspa.it;
B! SPA;AZIENDA;VIA ROVEGGIA 83;VERONA;458288111;ottavio.gandini@bspa.it;
LEADERFORM SPA;AZIENDA;VIA MOLINA, 14;SONA;456080822;;
ELETTRORICE;AZIENDA;VIA N. COPERNICO, 46/48;GREZZANA;45907127;elettrorice@elettrorice.com;
COMUNE DI BADIA CALAVENA;ENTE PUBBLICO;P.ZZA MERCATO, 1;BADIA CALAVENA;045/7810503;protocollo@comune.badiacalavena.vr.it;
BREMBENET;AZIENDA;VIA MONTE PEGNI, 1;ISOLA DELLA SCALA;456630780;info@brembenet.it;
CTM ALTROMERCATO;AZIENDA;VIA FRANCIA 1/C;VERONA;458731875;;
MEDIA &TECH S.R.L.;AZIENDA;VIA GAROFOLI, 317/A;SAN GIOVANNI LUPATOTO;458776581;info@mediatechweb.com;
ATTUA S.R.L.;AZIENDA;VIA ROVEGGIA, 43;VERONA;045/8271211;info@attua.it;
ATTUA S.R.L.;AZIENDA;VIA ROVEGGIA, 43;VERONA;045/8271211;info@attua.it;
DALLA PIAZZA S.R.L.;AZIENDA;VIA MINCIO ,2;SONA;45984722;dalla.piazza@tin.it;
C.P. SRL DI CUBI L. E PERINA G.;AZIENDA;VIA A. VOLTA;VILLAFRANCA DI VERONA - DOSSOBUONO;458600065;info@cubiperina.it;
MECATECK GROUP SRL;AZIENDA;VIA MADONNA PELLEGRINA, 30;VERONA;457613473;mecateck@mecatek.com;
SCHIANCHI CESARE- ELETTRODOMESTICI RADIO;AZIENDA;VIA BUCA, 36;NEVIANO DEGLI ARDUINI;521843108;;
OROTIG SRL;AZIENDA;VIA XXV APRILE 47;CASTELNUOVO DEL GARDA;456400865;info@orotig.com;
A.R. ELETTRONIC SAS DI RENON A. & C;AZIENDA;VIA DELL'INDUSTRIA,212;BUSSOLENGO;456703881;a.anna@arelettronic.com;
S.E.D.I.T. S.R.L;AZIENDA;VIALE DEL LAVORO 50;S.MARTINO B.A.;458799166;matteo.caria1@gmail.com;
NPN ELETTRONICA DI MOLINAROLO GIANLUCA;AZIENDA;VIA FIUME, 58F;VERONA;456103892;npnelettronica@ega.it;
GLAXOSMITHKLINE SPA;AZIENDA;VIA A. FLEMING, 2;VERONA;045/9218687;sofia.x.barbazzeni@gsk.com;
GLAXOSMITHKLINE SPA;AZIENDA;VIA A. FLEMING, 2;VERONA;045/9218687;sofia.x.barbazzeni@gsk.com;
GLAXOSMITHKLINE SPA;AZIENDA;VIA A. FLEMING, 2;VERONA;045/9218687;sofia.x.barbazzeni@gsk.com;
GLAXOSMITHKLINE SPA;AZIENDA;VIA A. FLEMING, 2;VERONA;045/9218687;sofia.x.barbazzeni@gsk.com;
GLAXOSMITHKLINE SPA;AZIENDA;VIA A. FLEMING, 2;VERONA;045/9218687;sofia.x.barbazzeni@gsk.com;
AQUEST SRL;AZIENDA;PIAZZA ZINELLI 1;S.GIOVANNI LUPATOTO;458752845;sara.pasquetto@aquest.it;
BDF TRANS SRL;AZIENDA;VIA SOMMACAMPAGNA 26;VERONA;458082622;bdf@bdftrans.it;
RIAM ASCENSORI SRL;AZIENDA;VIA DELLA SCIENZA 23;VERONA;458517211;sara.verona@riam.it;
SAELETTRICA SRL;AZIENDA;VIA PAPINI 2;CASTELNUOVO DEL GARDA;456450856;info@saelettrica.com;
Q-TEK SRL;AZIENDA;CORSO PORTA NUOVA, 20;VERONA;454732083;produzione@q-tek.it;
ARCA SPA;AZIENDA;VIA DELL'ARTIGIANATO 6B;VERONA;458201755;magazzino@arcaricambi.it;
AFTECH SAS DI FERRARI ALBERTO;AZIENDA;VIA ANTONIO DA LEGNAGO;VERONA;458840972;aftech@aftech.it;
AFTECH SAS DI FERRARI ALBERTO;AZIENDA;VIA ANTONIO DA LEGNAGO;VERONA;458840972;aftech@aftech.it;
CREATIVE ADV SNC;AZIENDA;VIA PASCOLI 4;VERONA;456260736;alessandro@creativeadv.eu;
PLUMAKE SRL;AZIENDA;VIALE DEL LAVORO 2;GREZZANA;3287142111;info@plumake.it;
GALIMBERTI SPA;AZIENDA;VIA VERONA 22;VERONA;456704320;sergio.deiana@galimberti.net;
GALIMBERTI SPA;AZIENDA;VIA VERONA 22;VERONA;456704320;sergio.deiana@galimberti.net;
GALIMBERTI SPA;AZIENDA;VIA VERONA 22;VERONA;456704320;sergio.deiana@galimberti.net;
SEMENZIN  AUTOTRASPORTI SRL;AZIENDA;VIA XXI NOVEMBRE, 188;DOLCE';456861593;info@semenzintrasporti.com;
COMPUTER OMNIA DI SANTAGIULIANA FABIO;AZIENDA;PIAZZA GARIBALDI, 59;LONIGO;444437746;info@computeromnia.it;
INPS - SEDE PROVINCIALE;AZIENDA;VIA CESARE BATTISTI, 19;VERONA;45938111;mario.cracco@inps.it;
3102 SRL;AZIENDA;VIA ISONZO,11;VERONA;3496616186;marcello.fiori@3102.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
STI  SPA;AZIENDA;VIA LABRIOLA, 22;NOGARA;442537135;ufficiodelpersonale@stispa.it;
AUTOTRASPORTI DETO.VE SRL;AZIENDA;VIA MARCONI7/A;BUTTAPIETRA;4518779038;info@detoveautotrasporti.it;
MICROTEK SERVICE DI BRUNO GRECO;AZIENDA;GOLOSINE 151 A;VERONA;3470991941;bruno@mposta.it;
POSITIVE S.R.L.;AZIENDA;VIA CA'  NOVA ZAMPIERI 4/E;SAN GIOVANNI LUPATOTO;458751599;mauro@positive.it;
TECNODUE S.N.C.;AZIENDA;VIA MAIELLA, 30;VERONA;45970072;tecnoduevr@tecnoduevr.it;
SIVA S.A.S.;AZIENDA;VIA A. VOLTA, 9;GREZZANA;45908090;info@siva2000.it;
TECNICA INFORMATICA DI DORELLA PAOLO;AZIENDA;VIA QUADRATO,44;VILLAFRANCA DI VERONA;455116984;info@dorella.com;
TECNICA INFORMATICA DI DORELLA PAOLO;AZIENDA;VIA QUADRATO,44;VILLAFRANCA DI VERONA;455116984;info@dorella.com;
ANODALL EXTRUSION S.P.A.;AZIENDA;VIA DEL LAVORO, 1;TREVENZUOLO;457350600;claudio.dalfini@anodallgroup.com;
GARONZI S.P.A.;AZIENDA;C.SO MILANO 88/B;VERONA;45562122;info@garonzispa.it;
CORRA' SICUREZZA S.R.L.;AZIENDA;VIA PROVINCIALE EST, 22;BUTTAPIETRA;456660087;corra@corrasicurezza.it;
CORRA' SICUREZZA S.R.L.;AZIENDA;VIA PROVINCIALE EST, 22;BUTTAPIETRA;456660087;corra@corrasicurezza.it;
ARCHIVA S.R.L.;AZIENDA;VIA SPAGNA, 24;VILLAFRANCA DI VERONA;45288000;stefano.amigliani@archivagroup.it;
FEDRIGONI CARTIERE S.P.A.;AZIENDA;V.LE PIAVE, 3;VERONA;458087768;selezione_formazione@fedrigoni.it;
BIEMME COMPUTERS S.R.L.;AZIENDA;VIA EMILIA 2/A;LUGAGNANO DI SONA;456766282;l.perina@biemmecomputers.it;
BIEMME COMPUTERS S.R.L.;AZIENDA;VIA EMILIA 2/A;LUGAGNANO DI SONA;456766282;l.perina@biemmecomputers.it;
ELETTRASERVICE S.N.C.;AZIENDA;VIA CONTI DA PRATO,15;CALDIERO;456151049;elettraservice@interfree.it;
EVIT S.R.L.;AZIENDA;S.DA DELL'ALPO, 20;VERONA;458203639;info@evitsrl.it;
ELETTRO 2 ERRE SNC;AZIENDA;VIA VOLPARE,28;NEGRAR;456000435;;
ELETTRO 2 ERRE SNC;AZIENDA;VIA VOLPARE,28;NEGRAR;456000435;;
BONFERRARO SPA;AZIENDA;VIA OBERDAN, 57;SORGA';456649216;gabriel.panarotto@bonferraro.it;
BONFERRARO SPA;AZIENDA;VIA OBERDAN, 57;SORGA';456649216;gabriel.panarotto@bonferraro.it;
BUSATO MORENO;AZIENDA;PIAZZA MARTIRI DELLA LIBERTA' , 1/C;ISOLA DELLA SCALA;456630581;busato.m@brembenet.it;
MODENINI SNC AUTOFFICINA;AZIENDA;VIA DELL'INDUSTRIA, 6;VIGASIO;457363899;luca@modenini.it;
DAL BARCO SRL;AZIENDA;VIA VILLANOVA, 75;SAN BONIFACIO;456102133;fabio@dalbarco.it;
DAL BARCO SRL;AZIENDA;VIA VILLANOVA, 75;SAN BONIFACIO;456102133;fabio@dalbarco.it;
AUTODESI SNC;AZIENDA;VIA I MAGGIO- ZONA ARTIGIANALE;BUSSOLENGO;456767488;stefano@autodesi.it;
OFFICINA SPONDA SRL;AZIENDA;VIA F. GIOIA, 47;VERONA;45501293;luca.trentin@volkswagengroup.it;
CINQUANTA SRL;AZIENDA;VIA SPAGNOLE,3 - DOMEGLIARA;SANT'AMBROGIO DI VALPOLICELLA;456860922;cinquanta.francesca@cinquantavr.volkswagengroup.it;
SITEM S.R.L.;AZIENDA;VIA STAFFALI, 44/H;VILLAFRANCA DI VERONA - DOSSOBUONO;458600997;sistem@sistemautomazione.com;
SIGNORETTO GROUP S.N.C.;AZIENDA;VIA MARCO POLO, 11;VERONA;45568800;ugolini.stefano@signoretto.group.it;
STM PRODUCTS S.R.L.;AZIENDA;VIA SCHIAPPARELLI, 15;VERONA;45585700;info@stm-products.com ;
STM PRODUCTS S.R.L.;AZIENDA;VIA SCHIAPPARELLI, 15;VERONA;45585700;info@stm-products.com ;
TRILANCE S.R.L.;AZIENDA;VIALE DEL COMMERCIO, 47;VERONA;458214701;info@trilance.com;
TECNO SERVICE VERDARI;AZIENDA;VIA DELL'INFORMATICA, 10;SAN MARTINO BUON ALBERGO;458781427;info@verdari.it;
TECNO SERVICE VERDARI;AZIENDA;VIA DELL'INFORMATICA, 10;SAN MARTINO BUON ALBERGO;458781427;info@verdari.it;
COMUNE DI SAN GIOVANNI LUPATOTO;ENTE PUBBLICO;VIA ROMA, 18;SAN GIOVANNI LUPATOTO;458290207;personale@comune.sangiovannilupatoto.vr.it;
COMUNE DI SAN GIOVANNI LUPATOTO;ENTE PUBBLICO;VIA ROMA, 18;SAN GIOVANNI LUPATOTO;458290207;personale@comune.sangiovannilupatoto.vr.it;
COMUNE DI SAN GIOVANNI LUPATOTO;ENTE PUBBLICO;VIA ROMA, 18;SAN GIOVANNI LUPATOTO;458290207;personale@comune.sangiovannilupatoto.vr.it;
BEDIGITAL S.R.L.;AZIENDA;VIA GINO BELTRAMINI 15/A;VERONA;458352440;amministrazione@bedigital.it;
ORTHOFIX S.R.L.;AZIENDA;VIA DELLE NAZIONI, 9;BUSSOLENGO;456719000;davide@remelli.net;
PIESSE QUADRO S.R.L.;AZIENDA;VIA GIORDANI, 9;BOVOLONE;456901890;segreteria@piessequadro.com;
IEM S.R.L.;AZIENDA;VIA GALVANI, 22/C;VERONA;45563003;info@iemimpiantielettrici.com;
PUNTO LUCE SERVIZI ELETTRICI DI LUCIO PUSCEDDU;AZIENDA;VIA CARLO MONTANARI, 2B;NEGRAR;3404650504;puntoluce-@libero.it;
NOVA SYSTEMS ENGINEERING S.R.L.;AZIENDA;VIALE DEL LAVORO, 39A;SAN MARTINO BUON ALBERGO;458788211;valeria@novasystems.it;
RPS S.P.A.;AZIENDA;VIALE EUROPA, 7;LEGNAGO;442635839;f.salgarolo@riello-ups.com;
QUADRANTE SERVIZI S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 61;VERONA;45952447;elena@quadranteservizi.it;
QUADRANTE SERVIZI S.R.L.;AZIENDA;VIA SOMMACAMPAGNA, 61;VERONA;45952447;elena@quadranteservizi.it;
CENTRO UFFICIO S.N.C.;AZIENDA;VIA ALTICHIERO, 81;ZEVIO;457135441;info@centroufficio.it;
E-TIME S.R.L.;AZIENDA;VIALE DEL LAVORO 45;SAN MARTINO BUONALBERGO;458780289;accounting@e-time.it;
EDULIFE S.P.A.;AZIENDA;LUNGADIGE GALTAROSSA;VERONA;459696300;l.soato@edulife.it;
EDULIFE S.P.A.;AZIENDA;LUNGADIGE GALTAROSSA;VERONA;459696300;l.soato@edulife.it;
EDULIFE S.P.A.;AZIENDA;LUNGADIGE GALTAROSSA;VERONA;459696300;l.soato@edulife.it;
ELECTRONIC SERVICE ITALIA S.R.L.;CONSORZIO;VIA DELLA SERENISSIMA, 8/1;BOVOLONE;456901425;info@es-i.it;
ELECTRONIC SERVICE ITALIA S.R.L.;CONSORZIO;VIA DELLA SERENISSIMA, 8/1;BOVOLONE;456901425;info@es-i.it;
GIRTECH S.R.L.;AZIENDA;VIA D. DA LUGO, 34;GREZZANA;458650792;cgirlanda@girtech.com;
CHIARINI AUTOMAZIONI S.R.L. A SOCIO UNICO;AZIENDA;VIA DELL' ARTIGIANATO, 30;MARANO DI VALPOLICELLA;456800863;commerciale@chiariniautomazioni.it;
UTECO CONVERTING S.P.A.;AZIENDA;VIALE DEL LAVORO,25;COLOGNOLA AI COLLI;045 6174555;sabrina.tomba@uteco.com;
UTECO CONVERTING S.P.A.;AZIENDA;VIALE DEL LAVORO,25;COLOGNOLA AI COLLI;045 6174555;sabrina.tomba@uteco.com;
UTECO CONVERTING S.P.A.;AZIENDA;VIALE DEL LAVORO,25;COLOGNOLA AI COLLI;045 6174555;sabrina.tomba@uteco.com;
UTECO CONVERTING S.P.A.;AZIENDA;VIALE DEL LAVORO,25;COLOGNOLA AI COLLI;045 6174555;sabrina.tomba@uteco.com;
FIUMINI SERGIO E FIGLI S.N.C.;AZIENDA;VIA BELTRAMINI, 5;VERONA;45941176;mirco@fiuminisergioefigli.191.it;
FIUMINI SERGIO E FIGLI S.N.C.;AZIENDA;VIA BELTRAMINI, 5;VERONA;45941176;mirco@fiuminisergioefigli.191.it;
EL.MED. GARDA S.A.S.;AZIENDA;VIA SAN GIUSEPPE ARTIGIANO, 6;COSTERMANO;456200094;info@elmedgarda.it;
ZANINI IMPIANTI S.N.C.;AZIENDA;VIA P. P. ARVEDI,1;VERONA;458841061;amministrazione@zaniniimpianti.it;
ZANINI IMPIANTI S.N.C.;AZIENDA;VIA P. P. ARVEDI,1;VERONA;458841061;amministrazione@zaniniimpianti.it;
ELETTROSYSTEM S.R.L.;AZIENDA;VIA LUCIO ANZIO, 14;GREZZANA;45907772;info@elettro-system.com;
LINPAC PACKAGING VERONA SRL;AZIENDA;VIA MONTE PASTELLO, 40;SAN GIOVANNI LUPATOTO;459216411;marta.prati@linpac.com;
NOVA SYSTEMS SERVICES S.R.L.;AZIENDA;PIAZZA DEL POPOLO, 1;VELO VERONESE;458788214;lforomi@novasystemsindustria.eu;
VALBUSA TECNOELETTRICA S.N.C. DI VALBUSA DARIO & C.;AZIENDA;VIA DEL FORTINO, 1;VERONA;45562649;simone.valbusa@tiscali.it;
VIESSMANN S.R.L.;AZIENDA;VIA BALCONI/BRENNERO, 56;PESCANTINA;456768999;tina@viessmann.com;
ANDREA IMPIANTI DI TEZZA ANDREA;AZIENDA;VIA S. ROCCO, 1;ROVERE';457848100;info@andreaimpianti.com;
ANDREA IMPIANTI DI TEZZA ANDREA;AZIENDA;VIA S. ROCCO, 1;ROVERE';457848100;info@andreaimpianti.com;
DELTA ERRE SAFE S.R.L.;AZIENDA;VIA TICINO, 9A/9B;SAN GIOVANNI LUPATOTO;459251754;ongaro@deltaerresafe.it;
NUOVA TECNOMOTOR S.R.L.;AZIENDA;VIA E. NATTA, 28;PESCANTINA;457153755;;
INFRACOM ITALIA S.P.A.;AZIENDA;P.LE EUROPA, 12;VERONA;458271411;andrea.zampieri@infracom.it;
HYPHEN - ITALIA S.R.L.;AZIENDA;VIA MARCONI, 14;VERONA;456203200;saraceno.a@hypen-italia.com;
HYPHEN - ITALIA S.R.L.;AZIENDA;VIA MARCONI, 14;VERONA;456203200;saraceno.a@hypen-italia.com;
OFFICINA MECC. ELETTR. F.LLI CHESINI CLAUDIO E VALENTINO S.N.C.;AZIENDA;VIA CORNO MOZZO, 14;PESCANTINA;456767409;officinachesini@libero.it;
OFFICINA MECC. ELETTR. F.LLI CHESINI CLAUDIO E VALENTINO S.N.C.;AZIENDA;VIA CORNO MOZZO, 14;PESCANTINA;456767409;officinachesini@libero.it;
ELETTRODATA SRL;AZIENDA;VIA STRA', 164;COLOGNOLA AI COLLI;458980734;elettrodata@tin.it;
ELETTRODATA SRL;AZIENDA;VIA STRA', 164;COLOGNOLA AI COLLI;458980734;elettrodata@tin.it;
C.I.E. SRL;AZIENDA;VIA VERDI, 26;CASTEL D'AZZANO;452066153;c.i.e.so@alice.it;
C.I.E. SRL;AZIENDA;VIA VERDI, 26;CASTEL D'AZZANO;452066153;c.i.e.so@alice.it;
STUDIO 3/98 DI DUFFINI CLAUDIO & C. S.N.C.;AZIENDA;VIA VENEZIA, 10/B;SANT'AMBROGIO DI VALPOLICELLA;456013202;claudio.duffini@gmail.com;
FRACCAROLI & BALZAN S.P.A.;AZIENDA;VIA OSPEDALETTO, 113;PESCANTINA;456767309;amministrazione@fraccarolibalzan.it;
4 FLYING SRL;AZIENDA;VIA EDISON 6;ZEVIO;458731908;amministrazione@4-flying.com;
4 FLYING SRL;AZIENDA;VIA EDISON 6;ZEVIO;458731908;amministrazione@4-flying.com;
BERTAGNOLI RENATO;AZIENDA;VIA COPERNICO,25;GREZZANA;458668066;michele@bertagnolirenato.it;
BERTAGNOLI RENATO;AZIENDA;VIA COPERNICO,25;GREZZANA;458668066;michele@bertagnolirenato.it;
OFFICINE BRENNERO S.P.A.;AZIENDA;VIA MANTOVANA, 158/B;VERONA;045/861231;matteo.ferioni@iveco.com;
OFFICINE BRENNERO S.P.A.;AZIENDA;VIA MANTOVANA, 158/B;VERONA;045/861231;matteo.ferioni@iveco.com;
ARCANET S.R.L.;AZIENDA;LOC.  CROSARON, 18/C;SAN BONIFACIO;456103766;amministrazione@arcanetservice.it;
ELECTRO TEAM S.R.L.;AZIENDA;VIA PACINOTTI, 10;VALEGGIO SUL MINCIO;456370950;electroteam@electroteamsrl.it;
COLOMBO 3000 DI LINO MASSAGRANDE;AZIENDA;VIA TRIESTE, 9/B;VILLAFRANCA DI VERONA;456305404;max@colombo3000.com;max@colombo3000.com
FABER ELETTRONICA S.N.C. DI FATTORI A. E BERTIN C.;AZIENDA;VIA DELL' ARTIGIANATO,38;CALDIERO;456151945;info@faber-elettronica.it;
COMUNE DI NEGRAR;ENTE PUBBLICO;PIAZZA VITTORIO EMANUELE, 37;NEGRAR;456011688;risorseumane@comunenegrar.it;
COMUNE DI NEGRAR;ENTE PUBBLICO;PIAZZA VITTORIO EMANUELE, 37;NEGRAR;456011688;risorseumane@comunenegrar.it;
TECNEL VD S.N.C.;AZIENDA;VIA OSPEDALETTO, 56;PESCANTINA;3474153050;info@tecnelvd.it;
SETECNA S.R.L.;AZIENDA;VIA A. VOLTA, 19/B;VILLAFRANCA DI VERONA;458600409;info@setecna.it - c.marini@setecna.it;
VI.BE.MAC. S.P.A.;AZIENDA;VIA MONTE PASTELLO, 7/I;SAN GIOVANNI LUPATOTO;458778151;accounting@vbm-grp.com;
VI.BE.MAC. S.P.A.;AZIENDA;VIA MONTE PASTELLO, 7/I;SAN GIOVANNI LUPATOTO;458778151;accounting@vbm-grp.com;
VI.BE.MAC. S.P.A.;AZIENDA;VIA MONTE PASTELLO, 7/I;SAN GIOVANNI LUPATOTO;458778151;accounting@vbm-grp.com;
BIONDAN S.P.A.;AZIENDA;VIA DEL VEGRON, 2;VERONA;045/8950555;biondan@biondan.it;
BIONDAN S.P.A.;AZIENDA;VIA DEL VEGRON, 2;VERONA;045/8950555;biondan@biondan.it;
BRUGI S.P.A.;AZIENDA;VIA PASTEUR 6;VERONA;458299111;sonia.agostino@brugi.it;
BRUGI S.P.A.;AZIENDA;VIA PASTEUR 6;VERONA;458299111;sonia.agostino@brugi.it;
OLI.TECNICA DI MENINI GIANNI E C.SNC;AZIENDA;P.LE VITTORIO VENETO 85;BUSSOLENGO;457157536;info@olitecnicasnc.it;
ISANGO SRL;AZIENDA;VIA  FRANCIA 3;VERONA;454857608;info@isango.it;
ELETTROLAMPO SAS DI BERTASO DAVIDE;AZIENDA;C.SO PORTA PALIO 46B;VERONA;458005127;;
GRUPPO GIOVANNINI SRL;AZIENDA;VIA E. FERMI 13;VERONA;458270340;;
KIRATECH SPA;AZIENDA;VIA FERMI, 11;VERONA;458347852;marco.bizzantino@kiratech.it;
EWIDE S.R.L.;AZIENDA;VIA MILANO 175;CASTELNUOVO DEL GARDA;452060857;amministrazione@ewide.it;
SP TRANS SRL;AZIENDA;VIA SOMMACAMPAGNA,61;VERONA;458621966;fabrizio@sptrans.it;
SP TRANS SRL;AZIENDA;VIA SOMMACAMPAGNA,61;VERONA;458621966;fabrizio@sptrans.it;
GAMMA UFFICIO SPA;AZIENDA;VIA PACINOTTI,4;VERONA;458185555;amministrazione@gammaspa.it;
FEDERAL MOGUL ITALY SRL;AZIENDA;VIA ENRICO FERMI,8;VERONA;458281347;cristina.piccazzi@fmmotorparts.com;
FEDERAL MOGUL ITALY SRL;AZIENDA;VIA ENRICO FERMI,8;VERONA;458281347;cristina.piccazzi@fmmotorparts.com;
AUTOFFICINA POIANA RAFFAELE;AZIENDA;VIA DELLE COSTE,20;VERONA;45567440;officina.poiana@gmail.com;
ISAP PACKAGING S.P.A;AZIENDA;LUNGADIGE ATTIRAGLIO 67;VERONA;458394411;alessandro.franceschini@isap-packaging.com;
CIAT ITALIA SRL;AZIENDA;VIA NASSAR, 46;PESCANTINA;456750065;s.peruzzi@cipriani-phe. com;
COMPITALIA SRL;AZIENDA;CROSARON N.18;VERONA;456106191;compitalia@compitalia.it;
CAD IT SPA;AZIENDA;VIA TORRICELLI, 44/A;VERONA;458211111;risorseumane@caditgroup.comroup.com;
CAD IT SPA;AZIENDA;VIA TORRICELLI, 44/A;VERONA;458211111;risorseumane@caditgroup.comroup.com;
CAD IT SPA;AZIENDA;VIA TORRICELLI, 44/A;VERONA;458211111;risorseumane@caditgroup.comroup.com;
CAD IT SPA;AZIENDA;VIA TORRICELLI, 44/A;VERONA;458211111;risorseumane@caditgroup.comroup.com;
PURPLE TRASPORTI SRL;AZIENDA;VIA DELL' INDUSTRIA,9;MOZZECANE;457979800;direzione@purpletrasporti.it;
ELETTROSYSTEM   VENERI SILVIO;AZIENDA;VIA L. ANZIO, 14;GREZZANA;45907772;info@elettro-system.com;
GREENSOFT SAS;AZIENDA;VIA DEL MOLINEL, 11;LAZISE;456020415;info@greensoft.net;
GREENSOFT SAS;AZIENDA;VIA DEL MOLINEL, 11;LAZISE;456020415;info@greensoft.net;
SOVEMA  GROUP S.P.A.;AZIENDA;VIA SPAGNA,13;VILLAFRANCA DI VERONA;456335711;laura.alberti@sovemagroup.it;
DIGITAL IDEA SRL;AZIENDA;PIAZZA DANESE, 4;BUSSOLENGO;456703929;info@digitalidea.it;
